OPTION UNITS,MEASURE Seat_Back_Angle,MEASURE Outseam,MEASURE Inseam,MEASURE CROTCH_Height,MEASURE TrouserWAIST_Circ,MEASURE HIP_Circ,MEASURE Knee_Height,MEASURE Calf_Height,MEASURE Waist_Height_Back_EZ,MEASURE TrouserWaist_Height_Back,MEASURE CrotchLength_Back,MEASURE CrotchLength_Front,MEASURE Ankle_Circ,MEASURE Head_Top_Height,MEASURE Hip_Height,MEASURE NeckBase_Circ,MEASURE Bust_to_Bust,MEASURE Underbust_Circ,MEASURE BUST_Circ,MEASURE Across_Back,MEASURE Shoulder_to_Shoulder,MEASURE Neck_Circ,MEASURE Knee_Circ,MEASURE Calf_Circ,MEASURE Bicep_Circ,MEASURE Elbow_Circ,MEASURE Wrist_Circ,MEASURE Shoulder_to_Wrist,MEASURE Shoulder_Length,MEASURE SideNeck_to_Bust,MEASURE NeckSide_to_Wrist,MEASURE NECK_Height,MEASURE Thigh_Circ,MEASURE Across_Front,MEASURE Shoulder_to_floor_Right,MEASURE Shoulder_to_floor_Left,MEASURE TopHip_Circ,MEASURE TrouserWaist_Height_Front,MEASURE Bust_Height,MEASURE Torso_Height,MEASURE Istumakorkeus,MEASURE NaturalWAIST_Circ,MEASURE NaturalWaist_Height,MEASURE Thigh_Height,MEASURE Ankle_Height,MEASURE Shoulder_Width_ThruTheBody,MEASURE Overarm_Width_ThruTheBody,MEASURE Hip_2_Width_ThruTheBody,MEASURE Hip_2_Circ,MEASURE Hip_2_Height,filename
cm,20.1,102.8,81.4,80.1,89.7,100.1,32.0,46.4,105.3,104.6,33.9,26.1,23.47,166.7,89.1,34.9,21.0,82.0,101.8,34.6,38.0,33.0,35.9,34.5,30.3,24.3,14.8,55.5,12.0,26.3,67.5,149.6,57.8,38.0,143.3,144.1,94.5,100.1,128.1,69.5,27.8,80.5,107.9,4.0,72.2,33.4,39.3,39.0,101.3,80.1,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0034.txt
cm,24.6,99.7,76.1,74.9,99.1,109.7,27.5,41.7,102.7,101.9,36.8,31.5,27.21,168.2,85.4,41.9,22.6,89.2,108.2,37.0,41.6,34.5,42.5,41.7,33.8,28.0,17.6,57.8,11.3,30.7,69.1,148.4,66.7,42.6,141.1,141.6,105.0,96.7,122.9,73.5,29.4,93.7,104.3,4.0,67.6,36.4,46.2,41.4,112.6,78.4,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0035.txt
cm,23.7,99.6,78.6,76.4,91.7,106.0,32.0,45.3,101.4,101.4,34.4,28.7,24.68,164.2,84.9,36.4,21.5,87.5,105.9,37.0,44.1,34.6,39.9,38.8,36.1,27.8,17.6,57.8,13.9,26.6,71.7,146.1,65.9,41.5,139.1,140.4,96.3,96.5,125.4,69.8,27.9,85.5,104.3,4.0,67.9,37.6,42.3,44.1,114.1,76.4,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0036.txt
cm,17.3,90.1,70.8,70.0,86.8,96.6,28.0,40.6,91.7,91.2,29.6,23.2,23.31,157.8,78.0,36.6,18.7,75.1,94.4,35.9,38.3,33.9,34.5,32.6,27.8,22.0,15.4,51.7,12.4,26.1,64.1,137.5,52.9,36.3,131.8,131.8,91.1,87.1,115.5,67.5,27.0,78.8,97.0,4.0,61.9,34.2,39.9,38.7,98.9,71.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0037.txt
cm,18.4,97.9,77.1,75.8,88.6,106.8,26.5,41.3,99.2,98.8,31.3,26.5,25.70,160.9,84.8,35.6,16.6,86.1,92.8,35.5,39.8,33.6,41.1,37.9,32.5,25.8,15.6,57.4,12.8,30.2,70.2,142.8,63.3,37.6,136.8,135.5,93.6,94.6,116.3,67.0,26.8,83.3,102.6,4.0,68.2,35.0,40.7,42.0,109.3,75.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0038.txt
cm,17.1,109.1,85.5,84.5,86.7,98.4,32.5,48.1,110.6,110.5,32.4,27.4,26.18,172.3,93.5,34.7,20.2,84.0,96.1,33.0,41.5,33.1,37.9,35.3,28.4,23.8,15.8,61.9,14.5,30.1,76.4,155.0,53.6,40.8,148.2,148.7,95.7,106.1,130.5,70.5,28.2,81.0,112.7,4.0,75.9,36.9,43.2,38.1,99.0,88.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0039.txt
cm,21.6,102.7,80.0,79.0,88.7,108.7,29.0,44.0,104.2,104.3,33.8,28.1,28.67,165.3,89.5,36.8,19.5,82.0,94.6,36.3,39.7,35.0,41.8,39.9,31.1,26.3,16.9,58.6,13.5,28.9,72.1,152.0,60.9,36.4,147.0,146.0,100.2,99.2,126.0,73.0,29.2,82.8,108.2,4.0,71.0,35.5,42.7,42.5,111.0,81.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0040.txt
cm,25.9,97.2,78.2,76.7,85.0,100.5,29.0,43.3,99.4,99.3,31.6,23.5,22.93,169.0,87.2,34.1,19.2,81.1,93.0,35.8,37.4,32.5,38.6,38.4,29.1,24.4,15.1,57.0,12.3,30.0,69.3,149.4,61.3,35.7,144.9,143.9,90.6,94.8,124.7,72.8,29.1,77.0,105.8,4.0,68.3,33.5,39.5,41.4,106.6,77.2,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0041.txt
cm,15.6,101.6,78.8,78.0,80.6,94.2,30.0,44.4,103.0,102.8,33.7,27.2,24.58,162.5,86.0,35.4,16.7,74.2,84.9,32.7,36.3,31.4,36.4,37.0,26.6,23.2,15.1,59.1,10.7,24.3,69.8,144.0,53.8,33.2,138.5,139.0,85.9,99.0,121.5,66.0,26.4,74.0,104.4,4.0,69.6,32.6,38.3,38.8,97.7,79.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0042.txt
cm,19.7,96.5,76.6,75.2,91.5,101.4,31.5,44.6,98.5,98.4,33.7,26.1,25.90,156.6,82.7,34.8,20.0,85.7,100.1,36.9,38.5,33.1,39.6,38.7,31.8,25.2,16.0,55.5,11.9,25.0,67.4,139.9,59.6,34.0,135.2,134.2,91.5,93.6,120.2,64.8,25.9,81.7,101.1,3.5,67.3,32.7,38.4,40.9,103.9,75.2,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0043.txt
cm,27.5,94.9,74.2,73.1,84.0,103.8,29.0,42.2,96.9,97.1,31.4,25.8,25.46,161.3,81.1,36.7,16.9,78.0,91.9,34.5,37.3,33.2,37.3,35.6,26.6,21.7,14.0,54.5,11.8,22.9,66.3,141.6,59.3,37.4,135.4,134.9,90.6,91.8,120.6,68.5,27.4,70.9,100.5,4.0,66.0,33.9,38.2,41.2,107.2,74.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0044.txt
cm,19.8,102.3,82.8,81.7,84.2,95.5,32.0,46.9,103.7,103.3,30.0,23.5,24.65,167.5,89.7,36.9,18.8,74.1,89.1,35.3,37.3,34.6,36.1,33.2,25.8,21.3,14.3,57.3,9.2,24.6,66.5,145.7,52.7,31.0,139.9,139.9,86.1,99.4,124.7,64.0,25.6,75.6,107.3,4.0,73.7,30.3,36.7,38.7,98.3,81.7,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0045.txt
cm,23.2,103.5,80.3,78.9,93.9,104.9,31.0,45.4,106.4,105.6,35.4,30.6,40.80,165.7,89.4,34.2,21.8,90.8,107.6,34.4,40.9,32.1,44.0,41.1,34.8,28.2,16.7,59.1,13.6,26.3,72.6,148.4,63.7,43.1,140.9,142.2,102.3,100.4,127.9,69.5,27.8,89.9,106.7,4.0,71.2,35.9,42.5,40.8,107.6,82.4,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0046.txt
cm,21.4,96.1,74.4,73.0,86.1,100.5,28.0,41.5,98.3,97.2,34.7,28.2,32.91,161.9,81.5,35.0,19.8,79.2,102.3,37.2,41.3,32.0,38.2,36.9,31.5,24.6,15.4,55.2,12.9,27.6,68.1,140.0,58.8,42.2,133.0,133.0,93.3,93.2,118.5,67.0,26.8,78.4,99.8,4.0,65.8,34.9,43.4,40.4,103.9,74.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0047.txt
cm,21.9,92.9,72.7,71.5,90.4,103.4,27.0,40.3,95.0,95.2,33.4,24.0,25.46,157.9,82.5,35.9,18.7,82.0,92.2,35.0,39.5,34.0,43.6,39.3,32.6,28.3,17.6,55.2,13.2,28.4,68.5,138.0,60.5,35.1,132.5,131.5,96.8,89.5,113.5,66.5,26.6,87.9,98.1,4.0,64.1,34.5,42.0,41.9,109.5,74.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0048.txt
cm,20.2,93.4,72.5,71.3,77.9,95.4,28.0,41.0,95.1,94.9,31.6,24.8,22.98,153.7,79.3,34.5,17.3,76.4,93.2,30.2,36.0,32.0,34.9,33.6,27.3,22.9,15.0,51.8,11.7,24.9,63.5,135.8,54.1,42.9,129.6,129.3,85.6,90.3,116.3,64.5,25.8,74.5,97.1,4.0,64.0,32.2,38.7,38.5,98.2,71.3,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0049.txt
cm,22.7,97.2,75.1,74.2,87.0,105.3,30.0,43.2,98.9,97.9,32.8,26.2,24.41,161.6,83.2,35.2,18.9,77.5,91.0,35.3,38.9,32.0,36.0,36.4,27.7,22.8,14.5,54.7,12.3,28.4,67.0,143.4,61.0,36.6,137.4,138.4,91.1,94.1,119.2,69.3,27.7,80.8,101.9,4.0,66.0,34.9,42.0,43.4,109.6,74.2,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0050.txt
cm,25.6,98.7,77.7,73.9,89.7,109.5,30.0,43.2,100.1,100.1,34.2,29.8,25.22,155.7,81.9,36.1,18.9,90.9,109.7,38.9,43.8,34.5,39.4,39.3,33.4,23.4,15.3,54.9,13.3,26.8,68.2,141.9,66.6,43.7,134.7,134.9,97.6,95.0,121.9,68.0,27.2,84.4,101.1,4.0,64.8,36.5,43.1,42.9,113.1,73.9,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0051.txt
cm,16.1,99.0,78.3,76.9,97.4,101.5,31.5,45.1,101.0,100.5,33.4,27.2,24.62,163.9,84.9,38.4,20.5,90.5,108.5,40.7,44.4,37.0,36.9,39.5,34.1,27.0,17.2,56.5,13.2,28.2,69.6,143.9,60.5,42.1,137.4,137.1,99.8,95.9,120.4,67.0,26.8,91.9,103.7,3.5,67.7,36.7,46.0,39.1,102.9,76.9,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0052.txt
cm,18.1,95.5,72.7,71.4,90.9,102.1,27.5,40.7,97.8,97.5,34.9,29.8,24.10,157.8,80.4,36.2,17.7,80.4,96.1,35.5,39.0,33.3,37.2,34.0,29.6,23.2,16.1,55.3,12.1,26.6,67.4,139.9,55.6,36.3,133.9,134.9,99.2,92.3,117.4,68.5,27.4,84.1,98.8,4.0,63.7,33.8,41.8,39.5,101.5,72.9,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0053.txt
cm,26.1,98.1,77.7,76.1,92.2,106.0,31.0,44.5,100.7,99.7,33.6,24.9,25.14,161.8,86.1,40.3,17.1,80.1,88.8,35.1,39.0,36.9,37.3,36.5,29.4,24.0,13.7,52.4,11.1,29.4,63.5,143.1,62.0,35.0,138.4,138.6,99.3,95.3,118.6,67.0,26.8,81.7,102.9,4.0,68.5,33.2,39.4,41.1,108.5,77.1,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0054.txt
cm,22.6,99.8,80.9,79.9,89.9,106.0,31.0,45.7,101.1,101.1,28.9,24.7,24.80,161.3,87.9,35.6,19.3,83.1,94.7,35.9,43.0,33.2,38.3,36.8,31.9,24.6,15.8,58.7,14.0,29.1,72.7,144.7,63.1,39.8,137.4,138.2,94.2,96.5,120.4,64.8,25.9,82.9,105.8,4.0,73.0,36.5,43.8,42.6,110.1,80.4,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0055.txt
cm,23.3,102.0,81.7,80.6,93.0,104.9,32.0,46.6,104.1,103.8,31.2,25.7,31.15,171.7,90.6,35.0,20.9,86.6,100.6,35.9,40.6,33.2,40.5,39.7,32.3,26.3,16.3,60.3,13.8,27.2,74.1,152.8,61.0,39.9,146.8,145.3,99.8,98.7,129.6,72.3,28.9,88.4,109.5,4.0,76.3,36.3,42.9,40.9,107.1,84.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0056.txt
cm,21.5,103.1,81.9,80.6,96.4,112.7,32.0,46.6,105.1,104.9,36.4,26.0,25.64,159.7,89.1,36.1,19.9,83.8,98.2,36.7,38.9,32.4,39.9,40.4,32.2,24.9,15.8,59.4,12.7,26.6,72.0,152.4,64.5,36.3,146.1,146.1,100.4,100.0,129.6,71.8,28.7,83.6,109.3,4.0,73.2,34.4,42.9,44.9,114.6,80.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0057.txt
cm,17.7,96.1,78.4,76.9,81.0,94.6,31.0,44.8,97.3,97.0,28.8,23.2,22.60,159.4,83.9,35.9,17.2,76.8,94.2,35.4,37.5,30.5,34.6,36.3,27.0,22.3,15.0,55.1,10.8,23.6,65.9,143.4,54.5,39.7,135.9,136.9,81.2,93.3,122.9,66.5,26.6,72.0,103.5,4.0,69.9,32.4,40.7,37.4,96.1,76.9,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0058.txt
cm,30.7,104.3,82.1,81.0,79.3,99.4,32.0,46.7,107.2,105.9,34.3,28.1,24.74,165.2,89.0,33.5,15.0,79.3,88.6,37.9,37.5,31.2,35.8,33.0,25.4,22.7,15.6,64.4,11.2,23.6,75.5,149.3,53.6,33.0,144.8,145.3,88.5,101.5,128.5,68.3,27.3,69.9,108.3,4.0,73.4,32.6,40.7,40.6,103.0,81.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0059.txt
cm,21.9,96.3,74.4,73.3,81.1,100.9,27.5,41.2,98.2,97.5,34.3,25.8,24.64,164.7,81.3,37.4,18.5,76.5,93.3,32.0,35.9,35.2,38.9,38.7,30.0,24.2,15.3,51.3,10.0,25.2,61.3,141.0,57.8,37.9,136.8,137.0,90.1,93.5,121.8,67.8,27.1,70.8,100.4,4.0,66.0,31.4,39.6,40.1,104.6,74.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0060.txt
cm,17.3,94.2,74.9,73.9,77.9,88.7,29.0,42.5,95.5,95.4,30.5,23.4,25.27,150.3,82.4,35.2,18.7,77.1,84.0,32.7,36.9,33.7,35.7,33.8,24.1,23.1,14.9,53.7,12.1,25.5,65.8,134.9,51.0,40.4,128.7,128.2,80.4,91.4,114.4,61.0,24.4,73.3,98.3,3.5,66.9,32.4,37.3,35.7,91.1,77.9,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0061.txt
cm,21.9,97.6,76.0,74.7,93.5,105.8,30.5,43.8,100.2,100.0,36.3,25.0,24.54,158.5,83.2,34.1,18.2,82.3,99.8,35.1,37.2,31.4,39.8,37.9,30.1,24.5,15.2,53.8,12.0,25.4,65.8,141.0,63.5,37.7,136.0,136.2,94.3,94.8,121.2,66.3,26.5,88.1,101.2,3.5,67.1,33.2,37.2,41.6,107.5,75.2,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0062.txt
cm,21.9,97.6,76.0,74.7,93.5,105.8,30.5,43.8,100.2,100.0,36.3,25.0,24.54,158.5,83.2,34.1,18.2,82.3,99.8,35.1,37.2,31.4,39.8,37.9,30.1,24.5,15.2,53.8,12.0,25.4,65.8,141.0,63.5,37.7,136.0,136.2,94.3,94.8,121.2,66.3,26.5,88.1,101.2,3.5,67.1,33.2,37.2,41.6,107.5,75.2,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0062_promt.txt
cm,22.9,100.4,75.5,74.2,89.7,111.6,29.5,42.9,102.9,102.4,38.3,31.4,25.75,161.9,81.7,36.7,22.2,82.2,99.8,34.5,39.9,32.8,42.5,38.9,33.4,25.7,16.3,55.1,13.0,29.0,68.1,143.0,65.4,38.2,135.0,136.7,100.8,97.1,120.2,68.8,27.5,86.4,101.7,3.5,66.8,34.7,39.9,43.7,113.9,75.7,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0063.txt
cm,21.6,104.8,84.0,82.7,80.3,99.3,35.5,49.7,106.4,106.2,31.1,27.6,23.74,166.0,87.2,34.7,17.2,79.1,89.9,32.4,39.8,30.6,37.3,37.5,29.1,23.9,15.2,58.0,12.3,28.8,70.3,149.7,59.3,37.4,142.7,144.2,86.3,101.7,126.2,67.0,26.8,69.6,109.5,4.5,74.8,34.8,39.3,39.1,102.6,82.7,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0064.txt
cm,14.1,96.4,74.4,73.0,91.7,98.1,28.0,41.5,98.4,98.3,32.0,28.0,25.67,156.7,81.0,35.8,19.6,80.9,96.0,36.3,39.7,32.7,38.2,35.4,31.1,24.4,16.5,53.1,13.7,29.6,66.8,138.0,54.4,36.3,131.0,131.3,94.8,93.4,114.0,65.0,26.0,86.9,99.0,4.0,65.4,34.5,39.6,37.8,97.8,73.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0065.txt
cm,21.3,94.7,73.2,71.5,82.9,98.7,29.0,41.7,96.4,96.1,33.9,26.2,21.91,149.8,80.0,33.8,17.3,80.7,87.8,33.4,35.7,31.9,34.3,34.8,27.5,22.6,14.4,54.3,12.5,28.7,66.7,137.4,57.2,32.8,131.4,132.2,88.9,91.7,114.0,66.0,26.4,75.1,97.8,4.0,64.3,31.7,41.4,41.0,103.1,73.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0066.txt
cm,15.8,95.2,76.8,75.1,82.8,93.8,30.0,43.5,96.6,96.1,28.5,24.0,22.70,161.3,82.6,34.0,18.5,76.9,89.9,32.5,38.8,31.8,32.8,32.8,27.1,22.2,15.1,56.1,13.0,26.0,69.1,139.9,50.1,40.3,134.6,133.6,85.3,92.0,118.6,64.8,25.9,76.5,101.0,4.0,66.9,34.5,40.8,37.7,96.3,75.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0067.txt
cm,16.7,104.9,84.6,83.4,101.2,106.7,34.0,48.8,107.2,106.4,31.7,27.1,21.55,167.3,94.4,39.7,18.3,90.8,105.7,41.2,41.7,37.4,36.0,34.2,33.3,26.4,16.5,61.5,11.8,31.1,73.3,152.2,56.4,34.8,144.9,146.4,105.5,102.1,124.9,68.8,27.5,100.6,110.9,4.0,74.8,34.2,44.0,40.4,104.8,87.4,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0068.txt
