OPTION UNITS,MEASURE Seat_Back_Angle,MEASURE Outseam,MEASURE Inseam,MEASURE CROTCH_Height,MEASURE TrouserWAIST_Circ,MEASURE HIP_Circ,MEASURE Knee_Height,MEASURE Calf_Height,MEASURE Waist_Height_Back_EZ,MEASURE TrouserWaist_Height_Back,MEASURE CrotchLength_Back,MEASURE CrotchLength_Front,MEASURE Ankle_Circ,MEASURE Head_Top_Height,MEASURE Hip_Height,MEASURE NeckBase_Circ,MEASURE Bust_to_Bust,MEASURE Underbust_Circ,MEASURE BUST_Circ,MEASURE Across_Back,MEASURE Shoulder_to_Shoulder,MEASURE Neck_Circ,MEASURE Knee_Circ,MEASURE Calf_Circ,MEASURE Bicep_Circ,MEASURE Elbow_Circ,MEASURE Wrist_Circ,MEASURE Shoulder_to_Wrist,MEASURE Shoulder_Length,MEASURE SideNeck_to_Bust,MEASURE NeckSide_to_Wrist,MEASURE NECK_Height,MEASURE Thigh_Circ,MEASURE Across_Front,MEASURE Shoulder_to_floor_Right,MEASURE Shoulder_to_floor_Left,MEASURE TopHip_Circ,MEASURE TrouserWaist_Height_Front,MEASURE Bust_Height,MEASURE Torso_Height,MEASURE Istumakorkeus,MEASURE NaturalWAIST_Circ,MEASURE NaturalWaist_Height,MEASURE Thigh_Height,MEASURE Ankle_Height,MEASURE Shoulder_Width_ThruTheBody,MEASURE Overarm_Width_ThruTheBody,MEASURE Hip_2_Width_ThruTheBody,MEASURE Hip_2_Circ,MEASURE Hip_2_Height,filename
cm,26.8,91.1,72.5,69.9,91.0,100.8,28.5,40.9,94.2,92.9,32.0,27.3,27.09,150.3,76.9,36.3,20.1,82.1,100.2,34.6,39.3,35.5,37.0,36.9,33.3,23.7,15.3,50.2,12.8,27.5,63.0,132.1,60.7,37.7,128.4,128.1,94.0,88.5,111.4,62.3,24.9,84.3,94.8,3.5,63.0,35.8,39.5,40.4,104.7,69.9,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0069.txt
cm,15.5,99.0,78.0,77.0,85.4,95.1,31.0,44.8,100.4,100.0,32.0,25.4,23.86,160.7,86.0,34.3,18.7,81.1,96.2,29.7,40.5,32.2,35.7,34.2,29.6,23.2,15.4,57.5,13.2,26.4,70.7,142.3,54.5,36.9,135.3,136.8,90.4,96.0,120.5,65.3,26.1,77.9,103.1,4.0,69.6,34.7,39.3,38.3,97.1,77.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0070.txt
cm,15.0,98.4,78.9,77.8,87.2,99.3,31.0,45.0,100.3,100.2,31.2,24.3,24.89,163.0,85.8,36.1,19.3,88.4,98.4,39.0,40.7,34.5,37.4,36.9,30.0,26.5,16.3,56.8,13.0,31.1,69.8,146.8,56.7,37.0,140.5,140.0,90.0,96.0,120.3,69.0,27.6,78.8,105.4,4.0,68.9,34.8,42.6,39.0,101.3,78.3,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0071.txt
cm,20.6,95.1,77.8,76.5,83.3,97.7,31.5,45.0,96.3,96.0,29.1,23.1,25.44,156.6,84.0,33.7,19.0,75.0,96.0,33.8,38.7,30.5,34.7,37.2,29.9,23.0,15.4,57.8,12.2,24.9,69.9,142.2,58.2,38.3,134.5,135.5,82.8,91.7,121.0,65.8,26.3,77.0,102.8,3.5,69.6,33.1,39.1,39.9,102.4,77.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0072.txt
cm,22.2,96.8,77.6,76.8,82.1,94.2,29.5,43.7,98.7,98.1,29.0,24.7,23.80,163.5,85.3,37.4,16.8,75.5,95.9,33.5,40.7,35.2,35.3,36.6,28.8,23.1,15.6,55.4,12.9,26.0,68.3,142.5,54.6,39.9,133.8,135.8,85.5,94.0,121.3,65.8,26.3,75.3,103.1,4.0,68.7,34.8,40.3,37.3,97.5,76.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0073.txt
cm,10.1,91.7,74.4,72.7,93.8,98.1,28.5,41.7,93.3,93.6,29.2,22.5,24.18,160.3,84.7,38.3,20.9,83.8,102.4,36.8,46.1,35.7,36.5,35.8,31.8,23.5,15.6,53.8,15.7,33.0,69.6,139.4,54.3,41.7,131.7,132.2,97.5,88.3,111.7,66.8,26.7,88.7,99.3,4.0,66.2,39.6,46.1,37.0,97.4,75.7,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0074.txt
cm,26.6,105.1,82.0,80.7,89.8,104.7,32.0,46.6,107.8,106.3,37.2,30.1,23.96,166.9,90.7,36.2,18.8,81.9,96.3,35.2,41.3,34.0,37.7,35.1,33.2,25.2,16.0,57.4,13.4,27.3,70.8,149.2,62.4,37.1,142.4,142.2,100.7,101.8,126.2,68.5,27.4,82.3,108.1,4.0,71.7,35.6,41.7,41.4,109.5,81.2,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0075.txt
cm,24.6,91.2,72.2,71.0,75.1,90.5,30.0,42.3,93.6,93.3,30.9,23.8,22.67,156.9,78.5,34.2,17.6,74.6,88.4,33.6,38.3,30.8,36.8,35.8,27.4,23.9,15.0,52.4,11.8,24.2,64.2,137.3,53.7,36.4,131.3,131.8,80.4,89.2,116.5,66.3,26.5,67.2,97.5,4.0,63.3,33.6,40.1,36.6,95.4,71.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0076.txt
cm,11.7,99.2,80.2,78.8,88.4,94.3,32.0,46.0,100.9,100.3,30.1,24.7,23.05,166.0,86.3,35.3,20.9,78.6,91.0,35.3,40.1,30.6,34.8,32.2,26.9,22.3,16.1,59.8,11.8,24.9,71.6,145.1,52.9,36.6,139.3,138.8,90.1,96.7,122.3,66.3,26.5,79.3,105.3,4.0,70.6,34.7,41.1,37.2,95.6,78.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0077.txt
cm,11.7,99.2,80.2,78.8,88.4,94.3,32.0,46.0,100.9,100.3,30.1,24.7,23.05,166.0,86.3,35.3,20.9,78.6,91.0,35.3,40.1,30.6,34.8,32.2,26.9,22.3,16.1,59.8,11.8,24.9,71.6,145.1,52.9,36.6,139.3,138.8,90.1,96.7,122.3,66.3,26.5,79.3,105.3,4.0,70.6,34.7,41.1,37.2,95.6,78.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0077_promt.txt
cm,16.9,98.3,76.3,75.6,93.7,98.4,30.0,43.7,100.1,100.0,32.6,27.0,24.09,165.8,86.6,38.1,34.0,94.5,104.0,37.2,41.5,34.4,35.3,36.1,29.7,24.2,16.8,57.1,12.6,20.9,69.7,144.8,51.4,35.5,136.8,138.1,95.1,95.4,126.6,69.3,27.7,85.4,103.3,4.0,67.4,35.4,44.2,38.0,98.2,80.1,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0078.txt
cm,17.6,105.0,83.3,81.8,97.8,109.2,32.0,46.9,107.1,106.5,35.5,27.9,28.06,166.9,91.3,33.6,19.1,89.9,105.6,37.4,40.4,30.7,39.6,38.3,33.9,26.3,16.3,61.6,12.8,27.9,74.4,150.8,62.4,39.3,143.6,144.3,102.8,101.8,127.8,69.0,27.6,90.3,109.4,4.5,73.5,34.7,41.2,43.8,112.6,82.3,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0079.txt
cm,18.5,94.5,75.7,73.3,88.3,101.0,30.0,43.0,96.2,95.6,30.8,24.1,24.13,160.2,81.3,36.3,19.0,82.9,97.3,39.6,39.4,32.9,38.0,37.3,31.0,24.7,16.1,54.8,11.5,25.3,66.2,140.3,57.9,36.3,134.3,134.6,91.7,91.3,118.3,67.0,26.8,80.7,100.1,4.0,66.3,33.9,43.4,40.5,104.7,74.3,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0080.txt
cm,25.0,100.4,79.6,78.5,85.8,99.8,32.5,46.3,103.1,102.6,33.9,26.4,25.80,167.1,85.5,35.8,18.2,76.1,89.9,34.1,38.6,32.2,38.0,36.3,30.0,23.1,14.6,59.6,10.9,24.9,70.5,147.5,59.2,33.6,141.8,140.8,88.5,97.6,125.5,69.0,27.6,74.4,106.1,3.5,70.5,32.4,40.6,40.5,104.9,79.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0081.txt
cm,27.7,99.8,80.2,79.0,83.3,97.2,31.0,45.4,101.7,101.9,29.8,24.6,27.73,164.0,87.5,34.0,18.8,77.2,96.7,36.6,38.9,31.5,36.1,38.5,29.6,23.8,15.1,56.9,12.5,25.9,69.4,144.8,57.3,35.3,136.8,137.8,88.1,97.0,124.0,65.8,26.3,75.4,105.3,4.0,72.4,32.6,39.9,38.8,101.1,79.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0082.txt
cm,13.4,98.8,77.6,74.5,99.1,105.0,27.0,41.3,100.0,100.1,35.2,26.6,25.77,151.9,91.0,35.6,19.2,80.9,93.8,32.4,38.7,40.0,39.3,37.2,30.5,24.9,16.1,56.2,12.1,30.1,68.3,138.5,55.4,35.8,133.5,134.5,105.1,95.1,114.0,64.0,25.6,91.4,100.1,3.5,67.0,33.6,39.6,41.7,104.8,75.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0083.txt
cm,22.0,102.3,80.8,79.6,90.0,100.3,31.0,45.6,104.6,103.4,33.5,25.6,23.52,160.8,86.6,36.1,22.3,81.6,98.0,33.0,41.1,33.0,37.9,35.0,29.9,26.2,16.1,56.9,13.1,29.7,70.1,146.3,58.2,39.7,140.3,141.1,93.0,99.4,120.6,66.8,26.7,82.8,106.3,4.0,71.7,37.0,43.3,40.0,104.0,79.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0084.txt
cm,18.8,99.3,78.2,77.0,92.5,102.7,30.0,44.1,101.4,101.1,34.2,26.3,37.07,165.8,85.0,35.6,16.6,76.9,93.1,34.9,36.8,32.3,35.5,34.7,29.6,22.7,14.6,58.1,11.8,25.6,69.9,145.3,57.1,33.2,139.8,139.5,93.6,96.3,124.0,68.3,27.3,84.1,104.3,4.0,69.1,32.7,39.3,41.4,104.6,77.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0085.txt
cm,27.4,90.0,70.6,69.1,74.3,90.7,26.0,38.9,92.0,91.7,31.7,24.0,23.97,151.1,76.1,33.5,15.5,71.5,84.8,34.7,36.9,29.7,35.6,34.8,24.6,21.6,14.1,50.1,10.9,26.7,61.0,131.6,52.5,33.7,126.1,126.1,78.2,87.0,108.6,62.5,25.0,67.5,94.1,3.0,61.6,32.2,37.4,37.1,94.5,69.6,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0086.txt
cm,19.2,95.1,75.4,74.0,72.9,91.2,30.0,43.2,96.4,96.0,30.8,24.0,22.27,157.9,80.5,29.8,15.3,77.6,89.4,29.3,35.4,29.4,34.9,33.6,26.1,22.7,15.0,53.3,12.5,25.9,65.8,139.0,51.0,37.0,133.8,134.5,78.6,91.8,120.0,65.0,26.0,67.4,100.0,4.0,65.9,31.5,38.1,37.8,94.9,74.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0087.txt
cm,19.2,95.1,75.4,74.0,72.9,91.2,30.0,43.2,96.4,96.0,30.8,24.0,22.27,157.9,80.5,29.8,15.3,77.6,89.4,29.3,35.4,29.4,34.9,33.6,26.1,22.7,15.0,53.3,12.5,25.9,65.8,139.0,51.0,37.0,133.8,134.5,78.6,91.8,120.0,65.0,26.0,67.4,100.0,4.0,65.9,31.5,38.1,37.8,94.9,74.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0087_copy.txt
cm,16.3,98.7,79.1,77.8,83.3,98.4,30.5,44.7,100.0,100.0,30.5,24.2,25.25,161.2,85.8,35.6,19.5,76.0,88.2,35.0,40.3,32.8,36.4,37.2,27.6,23.8,15.6,59.1,13.1,31.1,72.2,145.3,55.1,35.5,138.3,138.0,86.5,95.7,116.8,67.5,27.0,76.8,104.8,3.5,70.2,35.1,41.3,39.8,100.1,78.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0088.txt
cm,14.2,100.8,78.8,77.5,90.8,102.7,30.5,44.6,102.5,102.6,33.4,29.8,27.03,166.0,86.5,35.7,19.6,87.8,102.6,37.1,40.8,33.0,36.0,36.1,33.7,24.3,15.6,57.9,13.9,31.5,71.8,144.5,58.9,35.4,138.3,137.3,101.4,97.5,120.0,67.0,26.8,90.6,104.3,4.0,71.0,33.5,40.1,39.8,102.5,78.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0089.txt
cm,22.0,100.1,79.1,77.0,101.2,114.3,31.0,44.8,102.8,102.3,36.4,28.9,25.47,167.2,86.0,37.9,21.7,90.4,107.2,37.1,39.7,35.8,40.5,39.8,33.7,25.5,17.1,59.7,11.7,28.3,71.4,147.0,63.2,37.9,141.8,143.3,109.9,96.5,125.0,70.0,28.0,95.3,105.0,4.0,68.4,35.0,44.1,44.4,114.9,79.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0090.txt
cm,20.1,102.1,78.8,78.0,96.6,100.7,29.0,43.7,104.5,104.3,34.9,27.9,25.44,170.3,89.0,36.2,19.5,87.2,97.1,37.8,42.0,35.1,35.5,34.5,27.2,23.5,16.1,57.0,12.8,30.2,69.7,147.3,51.7,39.6,142.3,142.6,99.8,99.4,123.1,69.3,27.7,88.9,105.8,4.0,69.4,35.2,45.3,39.5,99.9,79.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0091.txt
cm,26.8,94.3,70.2,68.8,86.2,103.6,27.0,39.5,97.0,97.0,37.7,31.1,25.61,155.2,79.3,35.5,17.8,84.0,95.1,36.1,38.7,35.2,39.8,39.7,33.5,26.8,15.9,53.0,11.7,28.4,64.7,135.5,62.8,37.6,131.0,130.5,99.6,91.2,112.8,66.8,26.7,82.9,95.5,3.0,62.5,33.8,42.1,39.8,104.8,69.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0092.txt
cm,23.9,99.8,81.6,80.7,82.3,91.7,33.5,47.7,102.1,101.5,27.8,24.6,25.80,167.5,88.7,34.8,18.7,74.7,92.8,34.9,38.7,30.6,33.8,33.8,28.6,22.2,15.4,57.5,11.4,26.5,68.9,147.2,51.7,35.9,140.7,140.9,85.0,97.3,125.2,66.5,26.6,72.0,107.3,4.5,73.2,33.4,40.4,36.6,94.6,80.7,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0093.txt
cm,19.2,95.6,73.3,71.9,98.6,105.2,27.5,40.8,97.8,96.9,33.9,30.3,25.34,157.3,83.4,36.1,22.5,87.0,105.1,38.0,42.9,34.9,37.9,36.4,31.1,24.1,15.3,55.7,13.3,25.1,68.9,140.7,61.2,40.9,134.4,134.9,103.1,92.8,119.4,68.8,27.5,91.2,99.4,4.0,64.4,36.6,44.4,41.3,106.0,72.9,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0094.txt
cm,26.0,96.8,73.6,71.2,101.7,116.6,27.0,40.3,99.3,99.5,38.9,28.5,28.17,159.1,83.2,38.7,20.6,90.5,101.5,34.1,43.4,36.2,41.6,41.5,37.7,30.9,17.0,55.3,14.1,27.7,69.4,144.2,68.4,39.6,138.0,137.7,111.4,93.2,118.7,73.0,29.2,96.4,100.4,4.0,63.3,37.9,44.5,45.5,119.4,73.7,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0095.txt
cm,20.0,102.7,79.5,78.0,92.1,105.4,33.0,46.5,105.0,104.0,36.0,28.7,24.26,159.3,87.5,35.6,20.5,84.2,96.8,34.9,41.2,34.4,40.3,38.8,33.5,24.7,16.5,57.2,13.1,29.4,70.3,146.3,64.5,38.7,140.5,141.3,98.2,99.7,121.0,68.3,27.3,84.4,105.3,4.0,70.3,36.3,42.3,42.4,110.8,78.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0096.txt
cm,27.1,109.1,87.0,85.8,101.4,114.5,35.5,50.6,112.3,111.4,38.6,28.8,34.85,173.2,94.3,32.9,16.9,93.1,110.8,36.6,42.5,37.2,40.5,40.5,32.9,26.9,17.0,60.3,15.0,33.0,75.3,155.3,67.4,44.8,149.6,149.3,106.2,106.1,132.8,69.5,27.8,94.1,113.6,4.5,77.3,36.4,42.8,43.1,116.0,86.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0097.txt
cm,21.7,102.9,81.1,80.0,75.3,90.9,34.0,47.8,104.6,104.0,32.4,26.5,28.82,158.9,89.0,34.5,17.9,74.6,86.4,29.5,36.5,31.6,33.9,34.6,26.6,22.4,14.3,55.8,13.0,25.9,68.8,143.3,52.8,37.3,135.5,136.5,82.0,100.4,121.0,63.3,25.3,70.1,105.3,4.0,72.5,33.2,37.9,37.2,94.3,80.5,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0098.txt
cm,19.2,93.0,74.5,73.2,90.9,103.0,28.5,41.9,94.5,94.1,30.7,25.6,23.59,161.1,80.2,34.8,19.3,85.4,101.5,38.2,40.1,32.5,37.1,36.5,30.0,25.0,16.3,53.9,12.8,28.3,66.7,138.2,57.7,36.6,131.7,132.0,92.9,90.0,115.7,65.0,26.0,82.1,99.2,4.0,64.9,34.3,40.6,41.1,105.0,73.7,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0099.txt
cm,13.8,105.0,77.5,76.5,78.7,100.2,30.0,43.9,106.1,105.7,38.7,32.4,26.08,169.0,84.5,36.9,19.9,76.1,90.7,32.6,37.9,32.8,37.3,35.5,29.0,22.9,15.8,60.6,10.8,29.9,71.3,147.2,55.1,32.8,140.0,141.2,96.4,101.7,120.5,70.8,28.3,78.5,104.8,4.0,67.8,32.0,41.0,40.9,103.1,78.0,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0100.txt
cm,20.9,99.3,79.5,78.3,86.7,95.7,32.0,45.9,101.3,100.5,30.3,25.3,23.23,158.7,85.8,37.7,18.2,78.0,96.2,38.6,41.7,32.7,35.8,36.7,31.0,24.1,15.2,56.5,12.9,26.9,69.4,141.8,55.5,39.7,136.0,135.5,89.5,96.8,118.3,63.5,25.4,79.1,103.7,4.0,68.8,36.2,44.5,38.7,99.2,78.3,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0101.txt
cm,19.3,95.7,75.9,74.3,90.6,99.6,28.5,42.2,97.7,97.3,33.1,25.7,23.80,152.2,83.8,34.1,19.8,79.5,93.6,37.9,41.5,31.5,36.0,36.4,27.6,23.0,15.9,56.1,12.4,26.3,68.5,141.3,55.4,35.4,135.1,135.3,94.1,92.9,118.8,67.0,26.8,83.2,101.1,4.0,66.8,34.7,41.6,39.7,101.3,74.8,C:/Users/SAI/Downloads/NOMO-3d-400-scans_and_tc2_measurements/NOMO-3d-400-scans_and_tc2_measurements/nomo-scans/female_TC2Meas_txt/female_TC2Meas_txt/female_0102.txt
